"Salary","NBA_DraftNumber","Age","MP","PER","TS%","DRB%","VORP","G","OBPM","DBPM","BPM","OWS","DWS","WS","AST%","STL%"
43.6685152431659,4,30,373,15.5,0.52,8.6,0,12,1.2,-3.4,-2.2,0.4,0.2,0.6,22.3,1.6
36.7339421325102,2,24,1778,12.6,0.534,13.2,0.1,71,-2.1,0.3,-1.8,1.6,1.5,3.1,6,1.3
25.9956109151204,11,26,835,10.9,0.446,13.4,0.3,52,-2.6,2,-0.7,-0.2,1.1,0.8,19.5,2.6
24.6408995213466,2,29,1582,17.7,0.557,21.5,0.1,70,-1.1,-0.6,-1.7,0.9,1.4,2.2,12.4,1
34.6005589148646,11,25,237,16.8,0.661,24.2,0.1,30,0.6,-0.3,0.3,0.6,0.3,0.9,10.6,1.3
19.9768378704696,62,26,1155,12.9,0.567,14.8,0.6,69,-1.2,1.2,0,1.5,1.2,2.6,6.1,1.1
34.7971832558988,15,24,1264,12.6,0.596,9.9,1.2,59,-0.2,2,1.8,1.6,1.6,3.2,6,1.9
34.3695848627748,62,27,702,8.7,0.506,8.4,-0.7,37,-2.2,-3.6,-5.8,0.3,0.2,0.5,27.3,1
10.8086984561964,62,24,11,-0.7,0.417,10.2,0,3,-8.6,-8.6,-17.1,-0.1,0,0,0,0
37.3618370439057,22,27,1373,16.8,0.582,21,1.3,70,-1,2.6,1.6,1.7,1.6,3.3,14.6,1.7
36.8383187731443,2,31,1941,13.3,0.593,16.4,1.5,75,0.7,0.4,1.1,2.7,1.8,4.5,6.7,1.3
12.1820892008421,25,29,76,38.1,0.733,4.7,0.2,3,13.5,-2.9,10.6,0.5,0.1,0.6,32.6,3.3
12.5892541179417,62,25,52,10.9,0.697,29.3,0,8,-3.7,-2,-5.7,0.1,0,0.2,4.8,0
24.6408995213466,16,30,647,13.9,0.541,18.7,-0.1,50,0.3,-3,-2.7,0.2,0.5,0.7,9.5,0.5
12.0877525900842,29,24,74,5.8,0.302,8,-0.1,3,-5.8,-1.5,-7.3,-0.1,0.1,-0.1,24.9,2.7
26.7478348696573,8,20,1501,10.8,0.504,22.8,-0.1,71,-3.5,1.3,-2.1,-0.9,1.5,0.6,8.1,1.6
33.0126051218201,13,28,1872,13.3,0.573,19.3,0.8,69,-1,0.6,-0.4,1.1,2,3.2,10.8,1.4
32.0833017285096,1,19,176,10.3,0.404,10,-0.1,10,-4.7,-0.5,-5.1,-0.1,0.2,0.1,27.6,1.6
28.464652470366,5,22,1544,13.6,0.544,16,0.4,71,-1.1,0.2,-0.9,0.4,1.7,2.1,9.4,2.4
24.6138360597368,34,31,1353,10.1,0.5,12,-0.3,62,-2.3,-0.5,-2.8,-0.7,1.2,0.6,21.6,2.8
29.141413224369,6,23,1614,10.8,0.479,9.8,0.7,54,-1.6,1.2,-0.4,-0.6,2.5,1.9,23.9,2.2
29.769627533783,14,28,1398,14.8,0.547,18.7,0.2,52,-0.9,-0.5,-1.4,1.2,2.1,3.3,8,1.2
22.1814498023565,62,23,223,6.3,0.498,4.7,-0.2,41,-2,-2.7,-4.7,0.1,0,0.2,4.1,1.3
31.3290179599252,18,31,1838,14,0.581,7.1,0.2,76,0.7,-2.2,-1.5,2.2,1.2,3.4,11.9,1.6
36.59791052513,57,33,1967,14.9,0.55,24.1,1.2,78,-1.5,1.9,0.4,2.4,2.3,4.7,10.8,1
41.5033095807167,48,33,2374,17.3,0.531,25.4,2.1,72,-0.2,1.7,1.5,1.3,2.6,4,21.5,1.1
25.5591732561318,57,40,1241,12.4,0.544,10.1,0.2,62,-0.9,-0.4,-1.2,0.4,1.6,1.9,18.8,1.7
26.4164859938228,11,19,778,8.5,0.457,8.1,-0.7,60,-2.1,-3.3,-5.3,-0.9,0.5,-0.4,15.4,1.1
23.481980644284,19,21,581,8.8,0.504,11,-0.5,61,-2.8,-2.5,-5.3,0,0.3,0.3,7.4,1.3
25.5591732561318,62,28,1014,10.7,0.519,10,-0.4,54,-2,-1.6,-3.6,0.4,0.6,1,23.5,1.7
22.1814498023565,36,25,1404,14.3,0.579,10.8,0.3,46,0.6,-1.8,-1.2,2,0.7,2.7,16.3,1.5
22.8575717945846,22,22,324,5.9,0.446,10.7,-0.4,26,-4.3,-2.2,-6.5,-0.2,0.1,-0.1,5.6,1.6
39.0625592001373,7,32,13,5.5,0.5,0,0,1,-7.2,-1.4,-8.6,0,0,0,10.1,3.7
26.120114120954,12,21,1339,11.6,0.55,11.5,0.1,69,-1.4,-0.3,-1.8,0.8,1.3,2.2,12.4,1.5
24.2652107805016,16,28,708,10.2,0.587,14.1,-0.2,49,-0.8,-2.1,-3,0.6,0.4,1,6.6,0.6
10.8086984561964,62,24,8,-15.5,0,28.2,0,2,-23.8,-2.1,-25.8,-0.1,0,-0.1,0,0
26.5016868403128,16,25,404,17.5,0.661,18.6,0.8,47,-0.7,6.2,5.5,0.7,0.9,1.6,7,2.8
24.6408995213466,37,31,1507,10.1,0.601,11.8,0.7,58,-1.4,1.3,-0.1,0.8,1.9,2.6,5.1,2.1
32.0569034216688,45,31,2527,20.5,0.575,6.7,2.1,77,3.9,-2.7,1.2,5.6,1.3,6.9,26.5,1.6
31.30767914124,2,20,1780,12.5,0.444,17.3,1.6,52,-0.8,2.4,1.6,-0.5,2.5,2,29,2.4
45.1748499438299,1,33,2898,28.5,0.62,22.3,8.6,78,7.5,2.2,9.7,10.4,3,13.4,44,1.9
28.0604705995197,7,20,1949,15.3,0.551,23.6,0,65,-0.7,-1.2,-1.9,1.5,1.6,3.2,6.2,0.9
22.7457151748372,27,25,1367,20.3,0.613,21.6,1.9,62,1.2,2.4,3.6,3.5,2.2,5.7,8.8,3
13.7297506300036,62,27,70,3,0.354,0,-0.2,10,-5.4,-5.4,-10.7,-0.1,0,-0.1,18.7,0
31.7146503548727,62,26,782,12.3,0.509,10.2,0.1,54,-0.1,-1.5,-1.6,0.5,0.8,1.4,10.3,1.9
31.7027721218244,62,29,1302,6.4,0.512,10.5,-0.2,70,-2.1,-0.5,-2.6,0.2,0.6,0.8,4.3,1.1
28.619285163235,40,27,1747,12.4,0.501,21.2,-0.1,78,-1.9,-0.2,-2.1,-0.2,1.9,1.6,18.4,1.2
41.016918947479,2,32,2416,25.2,0.573,17.1,3.3,72,3.1,0.3,3.4,7.3,3.4,10.8,11.5,0.8
39.8715258182874,1,25,1931,25.1,0.61,10.8,4.1,60,7,-0.6,6.4,6.3,2.7,9,30.9,1.7
29.3209528409772,33,29,59,5.9,0.43,17.5,-0.1,12,-7.6,-4.2,-11.8,-0.1,0,0,4.8,0.8
